Frequency (nm),Sample,Lower_CI,Central,Upper_CI,Deviation
929.075,AK,14.920013,24.829058,42.344826,8.773096149
933.812,AK,14.6899,25.050375,42.778492,8.73341186
938.549,AK,14.61626,24.807809,42.088568,8.622730006
943.285,AK,14.445233,24.905841,41.12312,8.53562238
948.022,AK,14.239419,25.481848,41.39277,8.441128172
952.758,AK,13.7159,24.6193095,39.758003,8.110962315
957.495,AK,13.67816,24.1440125,39.37388,8.16171726
962.231,AK,13.69996,24.0907865,39.512995,8.290823869
966.968,AK,13.46591,24.373488,38.963008,8.350729937
971.704,AK,13.740458,24.3463715,39.597604,8.285331821
976.441,AK,13.68861,24.911839,39.417577,8.164190388
981.178,AK,14.148681,25.208324,40.347722,8.053358423
985.914,AK,14.51823,25.218675,40.41641,7.990250323
990.651,AK,14.591195,25.0292675,41.157556,8.111868117
995.387,AK,15.39726,25.104622,41.647196,8.212416419
1000.12,AK,15.369898,25.4217995,41.967043,8.362638264
1004.86,AK,15.543613,25.6105555,42.36672,8.447977869
1009.6,AK,15.910754,25.949624,43.287373,8.630649861
1014.33,AK,16.118118,26.284503,44.537038,8.806899787
1019.07,AK,16.330804,26.5807725,45.151117,9.019573049
1023.81,AK,16.26751,27.086036,46.001756,9.258461847
1028.54,AK,16.548602,27.688155,46.60547,9.406682827
1033.28,AK,16.644183,28.1086565,47.457007,9.634117998
1038.02,AK,17.110778,28.616133,47.923064,9.723678333
1042.75,AK,17.081463,28.861822,48.8668,9.905033891
1047.49,AK,17.553122,28.9722625,49.501497,10.05634925
1052.23,AK,17.437916,29.9917085,50.173914,10.11653339
1056.96,AK,17.631835,31.085049,51.00233,10.29499832
1061.7,AK,17.583863,31.2950715,51.95997,10.69376614
1066.44,AK,17.215662,31.34404,52.90493,11.06860216
1071.17,AK,17.486583,31.9446035,52.52141,11.14538393
1075.91,AK,17.460318,32.135017,52.9878,11.16812002
1080.65,AK,17.481358,32.55576,52.196836,10.92314417
1085.38,AK,17.976424,32.301226,52.44029,10.77800353
1090.12,AK,17.913593,31.436798,52.44041,10.55176914
1094.85,AK,17.118998,30.6620875,51.5625,10.4499636
1099.59,AK,17.328918,30.0285615,51.16751,10.40591683
1104.33,AK,16.365281,29.5507745,50.48733,10.42829516
1109.06,AK,17.161717,28.862639,49.687222,10.23204125
1113.8,AK,16.666667,28.0143925,49.063963,10.05371836
1118.54,AK,15.992036,26.954114,46.765846,9.807036455
1123.27,AK,15.253203,25.6999415,44.45145,9.131904129
1128.01,AK,14.408602,24.019909,40.289256,8.423139175
1132.75,AK,13.539074,21.772103,36.58205,7.567662827
1137.48,AK,11.297585,19.8371455,33.18999,6.960164204
1142.22,AK,11.161731,18.534046,31.11588,6.451000796
1146.96,AK,10.594487,17.4410595,29.686457,6.096932369
1151.69,AK,10.033043,16.865005,28.608847,5.955882134
1156.43,AK,9.560811,16.257885,27.91633,5.8681327
1161.17,AK,9.284432,16.042218,27.567297,5.729464688
1165.9,AK,9.2695884,15.7645435,27.180967,5.648091816
1170.64,AK,9.059157,15.139143,26.45939,5.616168092
1175.38,AK,9.060068,14.828876,25.850207,5.466190545
1180.11,AK,8.9298755,14.508442,25.27179,5.366629794
1184.85,AK,8.811726,14.320236,24.958068,5.318305481
1189.59,AK,8.9425586,14.2169795,24.909349,5.335566784
1194.32,AK,8.8212214,14.051514,24.882343,5.326055089
1199.06,AK,8.758315,14.1158105,25.21894,5.322881242
1203.8,AK,8.77394,14.1240525,25.288984,5.348703892
1208.53,AK,8.7804876,14.4297215,25.589624,5.471585195
1213.27,AK,9.02498,15.0164975,26.535997,5.568562774
1218.01,AK,9.550173,15.620295,27.274668,5.714777224
1222.74,AK,9.795057,16.367932,28.011134,5.860374812
1227.48,AK,9.864654,16.644779,28.30293,5.907662259
1232.22,AK,10.0567,17.040377,28.992963,6.056766049
1236.95,AK,10.049112,17.211279,29.587156,6.202640661
1241.69,AK,10.262908,17.70436,29.806453,6.239798152
1246.42,AK,10.2564104,17.839459,30.120847,6.307235354
1251.16,AK,10.4543775,18.1702785,30.164647,6.341839278
1255.9,AK,10.5686694,18.154827,30.117995,6.449649237
1260.63,AK,10.326449,17.890148,30.350664,6.467048587
1265.37,AK,10.3815205,18.065577,30.04176,6.391591962
1270.11,AK,10.034347,17.866654,30.266404,6.392700175
1274.84,AK,9.882992,17.604501,29.958487,6.349711736
1279.58,AK,9.798215,17.604281,29.240534,6.220584536
1284.32,AK,9.731678,17.3452235,29.004243,6.116435962
1289.05,AK,9.570181,16.9552145,28.22776,6.035958555
1293.79,AK,9.156999,16.4890785,27.8363,5.905453447
1298.53,AK,8.9655176,16.272008,26.892874,5.73952413
1303.26,AK,8.562241,15.4952095,26.27346,5.583358087
1308,AK,8.1092805,14.872107,25.423974,5.441423445
1312.74,AK,7.568176,14.1414965,24.586895,5.289773087
1317.47,AK,7.045857,13.3396775,23.199895,5.109931982
1322.21,AK,6.5642096,12.51146525,22.146554,4.939333149
1326.95,AK,5.8980282,11.6654393,21.215504,4.801053856
1331.68,AK,5.5182826,11.0694993,20.30157,4.646686165
1336.42,AK,5.0927434,10.3036043,19.170292,4.489436355
1341.16,AK,4.596689,9.4991,18.158427,4.367363469
1345.89,AK,4.2896174,9.10613,17.663477,4.216275108
1350.63,AK,3.762771,8.577404,16.78669,4.098639217
1355.37,AK,3.355846,7.98006545,15.803939,3.968860308
1360.1,AK,2.9797643,7.5556278,15.292493,3.90283887
1364.84,AK,2.7272727,7.025385,14.665227,3.736685467
1369.58,AK,2.4562957,6.7094938,13.37922,3.554211257
1374.31,AK,2.0869566,5.9168749,12.568885,3.335256168
1379.05,AK,1.6271187,5.34110665,11.8489586,3.110102049
1383.79,AK,1.4643545,4.80856445,10.959921,2.932571637
1388.52,AK,1.1090226,4.43155895,10.340595,2.824308005
1393.26,AK,1.0311111,4.0313513,10.0892514,2.675564534
1397.99,AK,0.9583859,3.6530009,9.81125,2.552588514
1402.73,AK,0.8395523,3.46573335,9.171388,2.453968794
1407.47,AK,0.8863565,3.3514226,8.742799,2.377713346
1412.2,AK,0.7162041,3.18055205,8.817,2.316275658
1416.94,AK,0.7314329,3.2611994,9.068924,2.30869213
1421.68,AK,0.7508917,3.2308057,8.486692,2.269750477
1426.41,AK,0.6623613,3.18393765,8.486871,2.213942414
1431.15,AK,0.6011164,3.01105955,8.4637366,2.209127789
1435.89,AK,0.7276696,3.0216775,8.5236914,2.177868174
1440.62,AK,0.7276764,3.0539427,8.202015,2.114467598
1445.36,AK,0.8109361,3.04672595,8.1044294,2.114930692
1450.1,AK,0.7619488,3.09727545,8.2865514,2.143574745
1454.83,AK,0.7851759,3.06834465,8.176727,2.099415897
1459.57,AK,0.818468,3.0744143,7.957592,2.122016992
1464.31,AK,0.7647741,3.0268804,8.142875,2.115642121
1469.04,AK,0.7929515,3.1571655,8.026085,2.125372087
1473.78,AK,0.8510081,3.1739159,8.056065,2.093137833
1478.52,AK,0.8332231,3.1990952,8.2047,2.1104603
1483.25,AK,0.8868023,3.3081852,8.2280256,2.09918982
1487.99,AK,0.8121278,3.26546615,8.128759,2.091607424
1492.73,AK,0.978166,3.4249247,8.166636,2.122410455
1497.46,AK,0.9113347,3.51718235,8.4375,2.170128405
1502.2,AK,0.8891214,3.5587648,8.456221,2.185380873
1506.94,AK,1.1040093,3.6616617,8.517268,2.160167866
1511.67,AK,1.0433828,3.762118,8.849936,2.231705538
1516.41,AK,1.2234617,3.8905166,9.383977,2.273153428
1521.15,AK,1.2803677,3.9988664,9.275163,2.345085028
1525.88,AK,1.4025246,4.21745165,9.336251,2.343161511
1530.62,AK,1.2723845,4.3020253,9.3650796,2.437887204
1535.35,AK,1.2465914,4.42983135,9.702405,2.474680753
1540.09,AK,1.641719,4.6358069,10.2783725,2.427312118
1544.83,AK,1.4650283,4.7155785,10.554804,2.568113642
1549.56,AK,1.6091954,4.7293088,10.678308,2.633106246
1554.3,AK,1.71737,4.92966235,10.459184,2.685116907
1559.04,AK,1.8716577,4.994206,10.810811,2.5501127
1563.77,AK,1.6046213,5.093297,10.810811,2.758034019
1568.51,AK,1.7802333,5.27535325,10.5969146,2.756300662
1573.25,AK,1.710731,5.45196255,11.9501464,2.871785905
1577.98,AK,1.5424165,5.55336435,11.5875915,2.85683097
1582.72,AK,1.4752371,5.66816605,12.1364094,3.100918623
1587.46,AK,1.4508928,5.8974646,12.078978,3.143514783
1592.19,AK,0.949367,6.369884,13.037975,3.768571512
1596.93,AK,0.5555556,6.4467265,13.713405,4.036744217
1601.67,AK,0,6.6876275,14.092664,4.376755019
1606.4,AK,-0.2469136,7.118774,15.963855,5.091723599
