Frequency (nm),Sample,Lower_CI,Central,Upper_CI,Deviation
1421.68,H,0.4514036,1.9410434,8.0182925,1.712275528
1426.41,H,0.4836228,1.9009633,7.942417,1.680802296
1431.15,H,0.4639773,1.89326255,7.9639174,1.671238533
1435.89,H,0.4795231,1.870415,7.983559,1.657614123
1440.62,H,0.4621747,1.8954705,7.993668,1.659298092
1445.36,H,0.4753673,1.86475835,7.961505,1.653613398
1450.1,H,0.4811394,1.87644335,8.016779,1.648976456
1454.83,H,0.4787962,1.88711625,7.966672,1.654278833
1459.57,H,0.4684389,1.9072164,7.964343,1.671083994
1464.31,H,0.5095738,1.92111285,8.0048926,1.676647312
1469.04,H,0.5296219,1.9520709,8.089345,1.664196064
1473.78,H,0.5291657,1.9808501,8.162181,1.69653331
1478.52,H,0.5420054,2.04458785,8.187977,1.722275528
1483.25,H,0.5711128,2.09668315,8.3429895,1.751594463
1487.99,H,0.5930088,2.15838645,8.418062,1.791393878
1492.73,H,0.6330197,2.25317705,8.586195,1.827539538
1497.46,H,0.6546645,2.36813245,8.812187,1.896175331
1502.2,H,0.681699,2.5000101,8.881506,1.96881457
1506.94,H,0.7109586,2.59639945,9.065473,2.014765366
1511.67,H,0.7928118,2.74164405,9.372157,2.071595394
1516.41,H,0.8147254,2.8859148,9.503394,2.149048709
1521.15,H,0.8395221,3.05093685,9.562663,2.218872884
1525.88,H,0.9501188,3.2086647,10.0105,2.2694205
1530.62,H,1.0148604,3.3138121,10.003573,2.314309329
1535.35,H,1.0408635,3.43594485,10.1309046,2.386770253
1540.09,H,1.1035654,3.59562275,10.476619,2.467260204
1544.83,H,1.2552301,3.7408948,10.723982,2.506653216
1549.56,H,1.2899263,3.8870356,11.013216,2.543348019
1554.3,H,1.1801242,4.02958815,11.2286,2.660153423
1559.04,H,1.2958963,4.1531824,11.3167636,2.72553964
1563.77,H,1.2600229,4.3657612,11.8421055,2.799254373
1568.51,H,1.3274336,4.5397595,11.9140625,2.921614794
1573.25,H,1.2048192,4.70003435,12.4087594,3.067658573
1577.98,H,1.1466011,4.93351565,12.978369,3.261107081
1582.72,H,0.9345794,5.1751684,13.446215,3.451059262
1587.46,H,0.8403362,5.4421768,14.088051,3.688179105
1592.19,H,0.5148005,5.781866,14.494681,4.03147768
1596.93,H,0,6.10035435,15.27559,4.484030308
1601.67,H,-0.2197802,6.4293785,16.736402,4.937925221
1606.4,H,-1.0928961,7.026394,17.857143,5.608595834
900.656,BCC,9.2307694,21.085301,47.465438,11.04956728
905.393,BCC,9.4382025,21.3552715,48.181817,10.80859838
910.129,BCC,9.6045196,21.5654255,47.398844,10.87584112
914.866,BCC,10.15625,21.4404365,47.34918,10.79473751
919.602,BCC,11.047836,21.02904,46.726862,10.29387624
924.339,BCC,11.143021,20.7246765,47.336066,10.15701448
929.075,BCC,11.4583336,20.6718665,48.34314,9.962263128
933.812,BCC,11.427112,20.531927,47.698972,9.910535125
938.549,BCC,11.210706,19.8868155,46.537328,9.778978458
943.285,BCC,11.0167034,19.502052,45.347208,9.768306136
948.022,BCC,10.600058,19.200533,44.320244,9.704180631
952.758,BCC,10.087404,18.126268,41.850504,9.30481416
957.495,BCC,9.904595,18.0215955,41.355306,9.362585321
962.231,BCC,10.050983,18.171959,41.505536,9.468515392
966.968,BCC,10.17524,18.373625,42.56738,9.558154169
971.704,BCC,10.346184,18.650637,42.81768,9.571750255
976.441,BCC,10.5465,18.922937,43.186477,9.634835945
981.178,BCC,10.837727,19.5283575,43.2266,9.530813733
985.914,BCC,11.136624,20,43.905398,9.655185137
990.651,BCC,11.2912245,20.033932,44.424987,9.672747097
995.387,BCC,11.440678,20.34702,45.81545,9.718239759
1000.12,BCC,11.660951,20.6252965,46.594647,9.889131355
1004.86,BCC,11.808847,21.0174535,47.514033,10.08311437
1009.6,BCC,12.040134,21.1483235,48.23741,10.21390401
1014.33,BCC,12.182269,21.7309715,49.326146,10.42327044
1019.07,BCC,12.503119,22.0417965,50.535715,10.60874401
1023.81,BCC,12.589777,22.408054,51.85022,10.8314378
1028.54,BCC,12.759374,22.7881615,52.20352,11.04223288
1033.28,BCC,13.106245,23.2593605,52.959555,11.25855747
1038.02,BCC,13.257894,23.693492,53.841674,11.4406984
1042.75,BCC,13.635767,24.1225065,54.994744,11.59877775
1047.49,BCC,13.863242,24.612812,55.155206,11.74170318
1052.23,BCC,14.060639,25.1674135,55.14832,11.90116363
1056.96,BCC,14.084075,25.6577335,56.18597,12.25107774
1061.7,BCC,14.247967,26.1513975,58.5625,12.60431517
1066.44,BCC,14.285715,26.6516895,60.59524,12.78953838
1071.17,BCC,14.62063,27.00188,61.48677,12.89118715
1075.91,BCC,14.477524,27.1240115,62.7907,12.87982271
1080.65,BCC,14.72,26.905565,60.841936,12.8139082
1085.38,BCC,14.91228,26.6121745,59.17782,12.57677658
1090.12,BCC,14.391534,26.2059065,57.55396,12.35256255
1094.85,BCC,14.271152,25.6425635,56.071806,12.03848627
1099.59,BCC,14.02321,25.011848,54.89642,11.87232944
1104.33,BCC,13.869864,24.4100005,53.583914,11.77268856
1109.06,BCC,13.099772,23.5495205,52.99501,11.66184434
1113.8,BCC,12.836438,22.8842935,52.397746,11.52354353
1118.54,BCC,12.0450035,21.8434215,50.489235,11.1341934
1123.27,BCC,11.147721,20.5630885,47.349823,10.57865265
1128.01,BCC,10.171149,18.423039,42.908347,9.639696456
1132.75,BCC,8.814318,16.28671,38.080359,8.739965379
1137.48,BCC,7.5679936,14.277262,33.939874,7.90264588
1142.22,BCC,6.9920845,12.87223,31.21235,7.240891546
1146.96,BCC,6.535726,12.34176,29.311496,6.864833029
1151.69,BCC,6.3859455,11.8052142,28.151384,6.597445959
1156.43,BCC,6.158057,11.519935,27.332965,6.478017374
1161.17,BCC,6.018981,11.21497925,27.23272,6.384455727
1165.9,BCC,5.9827007,11.1945875,27.133787,6.336334834
1170.64,BCC,5.8702793,11.03647525,26.542136,6.240207966
1175.38,BCC,5.7251185,10.836906,26.219392,6.166115379
1180.11,BCC,5.6095738,10.6669025,25.90782,6.071147246
1184.85,BCC,5.567278,10.64368,25.5794,6.029527779
1189.59,BCC,5.579139,10.5658895,25.479367,5.993103962
1194.32,BCC,5.6297157,10.4930495,25.384277,5.962685509
1199.06,BCC,5.703532,10.5510292,25.454545,5.964080301
1203.8,BCC,5.892413,10.7034132,25.500083,5.998421077
1208.53,BCC,6.010209,10.870651,25.776964,6.104516953
1213.27,BCC,6.2293276,11.1867815,26.508924,6.271439812
1218.01,BCC,6.560759,11.513533,27.548024,6.435586393
1222.74,BCC,6.836784,11.8816515,28.113964,6.640557749
1227.48,BCC,6.8738475,12.0257213,28.826532,6.759153515
1232.22,BCC,6.997491,12.1834845,29.43514,6.898059003
1236.95,BCC,6.996587,12.4542382,29.53668,6.981088902
1241.69,BCC,7.124164,12.473573,30.105197,7.026453837
1246.42,BCC,7.2072074,12.531074,30.198914,7.071062988
1251.16,BCC,7.188406,12.583927,30.60457,7.107408845
1255.9,BCC,7.062818,12.625076,30.69719,7.122179417
1260.63,BCC,6.8719774,12.528506,30.633894,7.163091233
1265.37,BCC,6.8899974,12.41991625,30.534884,7.11299259
1270.11,BCC,6.676916,12.248315,30.348915,7.051158477
1274.84,BCC,6.523997,12.01781855,30.05276,6.996404352
1279.58,BCC,6.42485,11.8425925,29.482722,6.877398774
1284.32,BCC,6.322254,11.6184435,29.006234,6.762078628
1289.05,BCC,6.1018072,11.3158705,28.29444,6.566447814
1293.79,BCC,5.8086738,10.8865585,27.251333,6.400021699
1298.53,BCC,5.588109,10.3992687,26.459882,6.164150353
1303.26,BCC,5.3229906,9.88370875,25.357243,5.919234589
1308,BCC,5.0096586,9.2902955,24.162048,5.645384137
1312.74,BCC,4.6467938,8.7019813,23.350316,5.356517899
1317.47,BCC,4.3370508,8.2072657,22.047244,5.032884878
1322.21,BCC,4.0412605,7.68906995,20.882353,4.749697839
1326.95,BCC,3.6904924,7.132242,19.655955,4.469404755
1331.68,BCC,3.4009047,6.5793195,18.41716,4.16618077
1336.42,BCC,3.0313069,6.0355671,17.52169,3.919350236
1341.16,BCC,2.7555555,5.56432105,16.571005,3.726465735
1345.89,BCC,2.3688288,5.1571315,15.964143,3.579473086
1350.63,BCC,2.0991603,4.7638603,15.379581,3.404857266
1355.37,BCC,1.8791374,4.4220246,14.675187,3.22904554
1360.1,BCC,1.6802017,4.1097341,14.122137,3.049925598
1364.84,BCC,1.4740846,3.7255175,13.287641,2.830419561
1369.58,BCC,1.2647187,3.3803843,12.506826,2.58920573
1374.31,BCC,1.0195036,2.93633685,11.218441,2.370827356
1379.05,BCC,0.8678403,2.54813795,10.077121,2.082351788
1383.79,BCC,0.6107171,2.1854066,9.459984,1.905948678
1388.52,BCC,0.5191916,1.91618165,9.0791896,1.699691151
1393.26,BCC,0.4372624,1.78413095,8.680793,1.649277403
1397.99,BCC,0.3948313,1.6416087,8.359361,1.574533587
1402.73,BCC,0.3964758,1.5938219,8.4374495,1.525657277
1407.47,BCC,0.3160556,1.5698362,8.1856675,1.501825009
1412.2,BCC,0.3365304,1.53971555,8.00464,1.488029652
1416.94,BCC,0.3051719,1.49754755,8.015267,1.509025022
1421.68,BCC,0.3366531,1.4696379,8.010336,1.404011797
1426.41,BCC,0.326087,1.46556805,8.019376,1.454458797
1431.15,BCC,0.3094379,1.43555285,7.955858,1.43318328
1435.89,BCC,0.3391062,1.4501516,7.9439834,1.416484813
1440.62,BCC,0.3506227,1.42692265,7.871983,1.411414003
1445.36,BCC,0.3404555,1.4077194,7.928756,1.414903271
1450.1,BCC,0.3432494,1.42709975,7.8105286,1.395500975
1454.83,BCC,0.3589109,1.42961175,7.86295,1.399161778
1459.57,BCC,0.3647971,1.4626512,7.789433,1.406508054
1464.31,BCC,0.3429997,1.48178205,7.9889804,1.442415358
1469.04,BCC,0.3639779,1.47464025,7.8335084,1.423874269
1473.78,BCC,0.3984652,1.5186572,7.8777544,1.447675148
1478.52,BCC,0.4005168,1.56832,7.962991,1.482068546
1483.25,BCC,0.4059101,1.59554445,7.958834,1.488109759
1487.99,BCC,0.4179985,1.63657675,8.113392,1.534674848
1492.73,BCC,0.4464286,1.7128816,8.274678,1.522044528
1497.46,BCC,0.4168403,1.7886867,8.354431,1.607609023
1502.2,BCC,0.4805592,1.95013635,8.487373,1.681032201
1506.94,BCC,0.4458977,1.9910191,8.5995086,1.724846867
1511.67,BCC,0.4898759,2.1363493,8.810811,1.843872872
1516.41,BCC,0.5371531,2.2459615,8.8607594,1.874269619
1521.15,BCC,0.5245902,2.4016012,8.8814564,1.959500989
1525.88,BCC,0.5941978,2.4702101,9.072742,2.008543635
1530.62,BCC,0.5860193,2.53651385,9.256953,2.086432002
1535.35,BCC,0.5695688,2.6448374,9.206963,2.096482798
1540.09,BCC,0.6921824,2.72408245,9.5432304,2.150899898
1544.83,BCC,0.7433319,2.81005455,9.4223484,2.171127031
1549.56,BCC,0.8321775,2.92948015,9.8345585,2.223171168
1554.3,BCC,0.7793473,3.05971,9.710219,2.286876471
1559.04,BCC,0.6792059,3.15520445,10.046608,2.406786617
1563.77,BCC,0.6744328,3.3105023,10.342679,2.505206421
1568.51,BCC,0.6887052,3.4149368,10.5860114,2.550660736
1573.25,BCC,0.7199424,3.6218703,10.8497724,2.67221884
1577.98,BCC,0.6024096,3.8048478,11.1398965,2.772620077
1582.72,BCC,0.3762935,4.0193733,11.363637,3.084403591
1587.46,BCC,0.1398602,4.2391304,11.820331,3.271305839
1592.19,BCC,0,4.57334015,12.739725,3.628450897
1596.93,BCC,-0.5050505,4.915435,13.343799,4.091605578
1601.67,BCC,-1.2915129,5.04135,14.337568,4.461449903
1606.4,BCC,-1.7857144,5.6278153,15.43943,5.08934557
900.656,SCC,7.675906,22.359702,47.679326,12.29406395
905.393,SCC,8.431373,22.447084,48.614073,12.23792656
910.129,SCC,8.6792454,21.6946445,48.812094,12.57175458
914.866,SCC,8.8815786,22.050486,49.44853,12.34668767
919.602,SCC,10.392365,21.992812,48.699763,12.13074204
924.339,SCC,10.910187,22.2498945,49.2674,12.05197396
929.075,SCC,10.961899,21.844869,50.53872,12.12114875
933.812,SCC,10.9886006,21.5248035,50.45097,12.08179434
938.549,SCC,10.680398,20.8603705,50.11776,11.93452266
943.285,SCC,10.678768,20.285643,48.315173,11.72141469
948.022,SCC,10.495821,19.686921,46.947306,11.40117761
952.758,SCC,9.602578,18.2823065,43.796074,10.92999438
957.495,SCC,9.429854,18.300462,43.08387,10.70038928
962.231,SCC,9.297743,18.477272,42.699245,10.63591162
966.968,SCC,9.3758665,18.733788,42.625284,10.65181012
971.704,SCC,9.613218,18.9311565,43.424124,10.72586663
976.441,SCC,10.0050025,19.223317,44.339126,10.89721747
981.178,SCC,10.231214,19.821954,45.743406,10.99975077
985.914,SCC,10.348977,20.360155,46.474555,11.27382636
990.651,SCC,10.868245,20.9641765,47.902098,11.47644212
995.387,SCC,11.00307,21.387774,48.604268,11.73806051
1000.12,SCC,11.0146254,21.7180545,49.476832,11.94559093
1004.86,SCC,11.350919,22.104016,50.36467,12.18681814
1009.6,SCC,11.702128,22.5171235,52.52449,12.39499021
1014.33,SCC,11.792717,23.151866,53.478545,12.64120432
1019.07,SCC,11.9668536,23.670617,54.453784,12.92410488
1023.81,SCC,12.213575,24.1285435,55.71964,13.19270523
1028.54,SCC,12.4683775,24.5969075,56.291884,13.45305861
1033.28,SCC,12.322848,25.059594,57.112104,13.70488413
1038.02,SCC,12.789871,25.615406,58.04104,13.93256675
1042.75,SCC,13.024132,26.1350585,58.521026,14.10752926
1047.49,SCC,13.178848,26.5001625,58.77872,14.17254903
1052.23,SCC,13.277219,26.6686585,58.242905,14.16169619
1056.96,SCC,13.320039,26.647803,57.88239,14.16408997
1061.7,SCC,13.395114,26.9995395,57.680315,14.18681906
1066.44,SCC,13.639054,27.374548,57.90101,14.24789725
1071.17,SCC,13.598673,27.588579,58.036864,14.27233768
1075.91,SCC,13.617021,28.0075295,59.22565,14.335035
1080.65,SCC,13.639969,28.09016,59.587955,14.30916326
1085.38,SCC,13.597734,27.905039,59.248555,14.30804887
1090.12,SCC,13.114753,28.074202,60.02099,14.3580099
1094.85,SCC,13.194445,27.9903,59.71922,14.3081387
1099.59,SCC,13.00813,28.0512125,59.86261,14.3251953
1104.33,SCC,12.824957,27.634615,59.982175,14.27249018
1109.06,SCC,12.364244,27.10242,58.718574,14.21823602
1113.8,SCC,12.284334,26.5616965,59.0379,14.15027294
1118.54,SCC,11.901763,25.433728,57.245433,13.65480785
1123.27,SCC,10.9651625,24.0635575,53.818184,12.86285993
1128.01,SCC,10.159363,21.5385995,49.639547,11.84393366
1132.75,SCC,8.973789,19.603372,45.269957,10.57973346
1137.48,SCC,8.2987554,17.1280065,40.35158,9.530733086
1142.22,SCC,7.445632,15.593225,37.570304,8.833897101
1146.96,SCC,7.0624046,14.804083,35.587457,8.313934073
1151.69,SCC,6.838597,14.2398255,34.392634,8.016479363
1156.43,SCC,6.743377,13.716266,34.051725,7.846859213
1161.17,SCC,6.5300286,13.785534,33.586243,7.680701526
1165.9,SCC,6.487283,13.6130725,33.229962,7.645777404
1170.64,SCC,6.342062,13.412228,32.81114,7.550794794
1175.38,SCC,6.2723674,13.0287145,31.938776,7.379824197
1180.11,SCC,6.112084,12.890856,31.667906,7.25656197
