Frequency (nm),Sample,Shapiro w,Shapiro p,Skewness,Kurtosis
1369.58,H,0.838690615,1.54E-55,1.792083816,4.547087754
1374.31,H,0.832144223,2.98E-56,1.88956453,5.363475554
1379.05,H,0.824421598,4.61E-57,1.964225818,5.765135199
1383.79,H,0.815136104,5.33E-58,2.026209042,6.019043409
1388.52,H,0.807693754,1.01E-58,2.108593708,6.661107535
1393.26,H,0.801735405,2.76E-59,2.134942508,6.683168071
1397.99,H,0.796098661,8.37E-60,2.21654645,7.438654912
1402.73,H,0.792815616,4.23E-60,2.223304655,7.410188324
1407.47,H,0.789879669,2.31E-60,2.234616329,7.503594483
1412.2,H,0.788317136,1.68E-60,2.255121477,7.65760991
1416.94,H,0.785841437,1.02E-60,2.2899993,7.980028617
1421.68,H,0.785839877,1.02E-60,2.260386055,7.62475387
1426.41,H,0.782694376,5.45E-61,2.268878784,7.617265056
1431.15,H,0.77963456,2.98E-61,2.286420999,7.80932539
1435.89,H,0.777503763,1.96E-61,2.304562578,7.906677578
1440.62,H,0.779444013,2.87E-61,2.274422026,7.606068687
1445.36,H,0.776726689,1.69E-61,2.292900311,7.69866555
1450.1,H,0.776554978,1.63E-61,2.289505671,7.680160637
1454.83,H,0.779906542,3.14E-61,2.274135984,7.726357669
1459.57,H,0.780885522,3.81E-61,2.274687206,7.678685861
1464.31,H,0.780106483,3.27E-61,2.279017555,7.777001449
1469.04,H,0.780058672,3.24E-61,2.283895444,7.832577135
1473.78,H,0.784209653,7.36E-61,2.249316026,7.55187241
1478.52,H,0.787766671,1.51E-60,2.228975338,7.416583288
1483.25,H,0.790237986,2.49E-60,2.211509793,7.263347615
1487.99,H,0.795434661,7.29E-60,2.183004361,7.065451962
1492.73,H,0.801701724,2.74E-59,2.14346206,6.825817157
1497.46,H,0.810367314,1.82E-58,2.102015181,6.681065343
1502.2,H,0.819555423,1.47E-57,2.036108581,6.213753249
1506.94,H,0.825176651,5.51E-57,1.989622937,5.941375449
1511.67,H,0.830071878,1.79E-56,1.954625272,5.807286359
1516.41,H,0.841506029,3.17E-55,1.883532354,5.453332375
1521.15,H,0.853335226,7.46E-54,1.803098311,4.942413761
1525.88,H,0.854956973,1.17E-53,1.786566929,4.803967548
1530.62,H,0.855577152,1.39E-53,1.834610566,5.51112368
1535.35,H,0.86277795,1.09E-52,1.75194141,4.852074232
1540.09,H,0.86880617,6.50E-52,1.684450827,4.297959571
1544.83,H,0.870158928,9.81E-52,1.696533587,4.498996216
1549.56,H,0.871868207,1.66E-51,1.712587734,4.71543996
1554.3,H,0.88144734,3.51E-50,1.617224642,4.113061514
1559.04,H,0.884375695,9.28E-50,1.580141892,3.835158158
1563.77,H,0.890543142,7.72E-49,1.584955594,4.18226569
1568.51,H,0.897746449,1.04E-47,1.514324319,3.806165051
1573.25,H,0.909871953,1.20E-45,1.407422096,3.25071751
1577.98,H,0.916221235,1.77E-44,1.353051807,3.038059219
1582.72,H,0.923835368,5.64E-43,1.310728605,3.161224507
1587.46,H,0.937338528,5.57E-40,1.1702255,2.594565273
1592.19,H,0.954254379,2.17E-35,0.998110633,2.210963025
1596.93,H,0.964609939,7.35E-32,0.853863421,1.697704985
1601.67,H,0.971436987,4.61E-29,0.724353559,1.289354916
1606.4,H,0.981790458,1.26E-23,0.570750143,1.185214317
900.656,BCC,0.867792791,5.52E-38,1.796979502,5.350981979
905.393,BCC,0.868215556,6.13E-38,1.785727291,5.196243638
910.129,BCC,0.863292905,1.83E-38,1.815977354,5.363796477
914.866,BCC,0.869158278,7.76E-38,1.721482548,4.615120577
919.602,BCC,0.86277621,1.62E-38,1.714380865,4.235587573
924.339,BCC,0.862483715,1.51E-38,1.640029527,3.541433116
929.075,BCC,0.857602488,4.74E-39,1.662868624,3.613969396
933.812,BCC,0.853552945,1.86E-39,1.701430098,3.897284099
938.549,BCC,0.848343064,5.75E-40,1.760498734,4.371996058
943.285,BCC,0.841002885,1.16E-40,1.831109188,4.983757483
948.022,BCC,0.827232418,6.73E-42,1.978002329,6.09537406
952.758,BCC,0.810641821,2.76E-43,2.15987997,7.398813219
957.495,BCC,0.800076968,4.06E-44,2.2846957,8.281826014
962.231,BCC,0.793205988,1.22E-44,2.363872975,8.769018408
966.968,BCC,0.791329128,8.83E-45,2.372307882,8.727774433
971.704,BCC,0.796378629,2.12E-44,2.31578767,8.298437112
976.441,BCC,0.812851586,4.17E-43,2.15528947,7.319868982
981.178,BCC,0.826163666,5.44E-42,2.016241031,6.395512748
985.914,BCC,0.844222774,2.32E-40,1.841592609,5.266024509
990.651,BCC,0.852992611,1.64E-39,1.749769865,4.589334865
995.387,BCC,0.855988989,3.26E-39,1.712209025,4.266859391
1000.12,BCC,0.85957256,7.54E-39,1.674971469,4.020114176
1004.86,BCC,0.861044733,1.07E-38,1.646725884,3.790271159
1009.6,BCC,0.862259055,1.43E-38,1.638451256,3.731352804
1014.33,BCC,0.860937931,1.04E-38,1.652607613,3.79976913
1019.07,BCC,0.862175682,1.40E-38,1.635051561,3.672443433
1023.81,BCC,0.862265198,1.43E-38,1.639279794,3.697219459
1028.54,BCC,0.862661354,1.58E-38,1.64060401,3.710222068
1033.28,BCC,0.863246752,1.81E-38,1.639710967,3.71888228
1038.02,BCC,0.862545405,1.53E-38,1.648715975,3.787194008
1042.75,BCC,0.859806516,7.97E-39,1.686992606,4.059613804
1047.49,BCC,0.852240183,1.38E-39,1.779189677,4.750087816
1052.23,BCC,0.836857475,4.82E-41,1.958365696,6.063629629
1056.96,BCC,0.817298064,9.66E-43,2.1694283,7.557159117
1061.7,BCC,0.805238475,1.02E-43,2.293388973,8.273830507
1066.44,BCC,0.798813159,3.24E-44,2.338543304,8.338612439
1071.17,BCC,0.797344462,2.50E-44,2.338250467,8.204236716
1075.91,BCC,0.800312274,4.23E-44,2.310859716,7.987603608
1080.65,BCC,0.813002971,4.29E-43,2.187884671,7.255125344
